T 2
A 1 5
S 5 4
0x0168 1+1+1+1 5 UNSAT
0x0168 1+1+1+2 5 UNSAT
0x0168 1+1+1+2 5 UNSAT
0x0168 1+1+1+4 5 UNSAT
0x0168 1+1+2+1 5 UNSAT
0x0168 1+1+2+2 5 UNSAT
0x0168 1+1+2+2 5 UNSAT
0x0168 1+1+2+4 5 UNSAT
0x0168 1+1+2+1 5 UNSAT
0x0168 1+1+2+2 5 UNSAT
0x0168 1+1+2+2 5 UNSAT
0x0168 1+1+2+4 5 UNSAT
0x0168 1+1+4+1 5 UNSAT
0x0168 1+1+4+2 5 UNSAT
0x0168 1+1+4+2 5 UNSAT
0x0168 1+1+4+4 5 UNSAT
0x0168 1+2+1+1 5 UNSAT
0x0168 1+2+1+2 5 UNSAT
0x0168 1+2+1+2 5 UNSAT
0x0168 1+2+1+4 5 UNSAT
0x0168 1+2+2+1 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+4 5 UNSAT
0x0168 1+2+2+1 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+4 5 UNSAT
0x0168 1+2+4+1 5 UNSAT
0x0168 1+2+4+2 5 UNSAT
0x0168 1+2+4+2 5 UNSAT
0x0168 1+2+4+4 5 UNSAT
0x0168 1+2+1+1 5 UNSAT
0x0168 1+2+1+2 5 UNSAT
0x0168 1+2+1+2 5 UNSAT
0x0168 1+2+1+4 5 UNSAT
0x0168 1+2+2+1 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+4 5 UNSAT
0x0168 1+2+2+1 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+2 5 UNSAT
0x0168 1+2+2+4 5 UNSAT
0x0168 1+2+4+1 5 UNSAT
0x0168 1+2+4+2 5 UNSAT
0x0168 1+2+4+2 5 UNSAT
0x0168 1+2+4+4 5 UNSAT
0x0168 1+4+1+1 5 UNSAT
0x0168 1+4+1+2 5 UNSAT
0x0168 1+4+1+2 5 UNSAT
0x0168 1+4+1+4 5 UNSAT
0x0168 1+4+2+1 5 UNSAT
0x0168 1+4+2+2 5 UNSAT
0x0168 1+4+2+2 5 UNSAT
0x0168 1+4+2+4 5 UNSAT
0x0168 1+4+2+1 5 UNSAT
0x0168 1+4+2+2 5 UNSAT
0x0168 1+4+2+2 5 UNSAT
0x0168 1+4+2+4 5 UNSAT
0x0168 1+4+4+1 5 UNSAT
0x0168 1+4+4+2 5 UNSAT
0x0168 1+4+4+2 5 UNSAT
0x0168 1+4+4+4 5 UNSAT
0x0168 2+1+1+1 5 UNSAT
0x0168 2+1+1+2 5 UNSAT
0x0168 2+1+1+2 5 UNSAT
0x0168 2+1+1+4 5 UNSAT
0x0168 2+1+2+1 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+4 5 UNSAT
0x0168 2+1+2+1 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+4 5 UNSAT
0x0168 2+1+4+1 5 UNSAT
0x0168 2+1+4+2 5 UNSAT
0x0168 2+1+4+2 5 UNSAT
0x0168 2+1+4+4 5 UNSAT
0x0168 2+2+1+1 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+4+1 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+4 5 UNSAT
0x0168 2+2+1+1 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+4+1 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+4 5 UNSAT
0x0168 2+4+1+1 5 UNSAT
0x0168 2+4+1+2 5 UNSAT
0x0168 2+4+1+2 5 UNSAT
0x0168 2+4+1+4 5 UNSAT
0x0168 2+4+2+1 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+4 5 UNSAT
0x0168 2+4+2+1 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+4 5 UNSAT
0x0168 2+4+4+1 5 UNSAT
0x0168 2+4+4+2 5 UNSAT
0x0168 2+4+4+2 5 UNSAT
0x0168 2+4+4+4 5 UNSAT
0x0168 2+1+1+1 5 UNSAT
0x0168 2+1+1+2 5 UNSAT
0x0168 2+1+1+2 5 UNSAT
0x0168 2+1+1+4 5 UNSAT
0x0168 2+1+2+1 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+4 5 UNSAT
0x0168 2+1+2+1 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+2 5 UNSAT
0x0168 2+1+2+4 5 UNSAT
0x0168 2+1+4+1 5 UNSAT
0x0168 2+1+4+2 5 UNSAT
0x0168 2+1+4+2 5 UNSAT
0x0168 2+1+4+4 5 UNSAT
0x0168 2+2+1+1 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+4+1 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+4 5 UNSAT
0x0168 2+2+1+1 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+2 5 UNSAT
0x0168 2+2+1+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+2+1 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+2 5 UNSAT
0x0168 2+2+2+4 5 UNSAT
0x0168 2+2+4+1 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+2 5 UNSAT
0x0168 2+2+4+4 5 UNSAT
0x0168 2+4+1+1 5 UNSAT
0x0168 2+4+1+2 5 UNSAT
0x0168 2+4+1+2 5 UNSAT
0x0168 2+4+1+4 5 UNSAT
0x0168 2+4+2+1 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+4 5 UNSAT
0x0168 2+4+2+1 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+2 5 UNSAT
0x0168 2+4+2+4 5 UNSAT
0x0168 2+4+4+1 5 UNSAT
0x0168 2+4+4+2 5 UNSAT
0x0168 2+4+4+2 5 UNSAT
0x0168 2+4+4+4 5 UNSAT
0x0168 4+1+1+1 5 UNSAT
0x0168 4+1+1+2 5 UNSAT
0x0168 4+1+1+2 5 UNSAT
0x0168 4+1+1+4 5 UNSAT
0x0168 4+1+2+1 5 UNSAT
0x0168 4+1+2+2 5 UNSAT
0x0168 4+1+2+2 5 UNSAT
0x0168 4+1+2+4 5 UNSAT
0x0168 4+1+2+1 5 UNSAT
0x0168 4+1+2+2 5 UNSAT
0x0168 4+1+2+2 5 UNSAT
0x0168 4+1+2+4 5 UNSAT
0x0168 4+1+4+1 5 UNSAT
0x0168 4+1+4+2 5 UNSAT
0x0168 4+1+4+2 5 UNSAT
0x0168 4+1+4+4 5 UNSAT
0x0168 4+2+1+1 5 UNSAT
0x0168 4+2+1+2 5 UNSAT
0x0168 4+2+1+2 5 UNSAT
0x0168 4+2+1+4 5 UNSAT
0x0168 4+2+2+1 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+4 5 UNSAT
0x0168 4+2+2+1 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+4 5 UNSAT
0x0168 4+2+4+1 5 UNSAT
0x0168 4+2+4+2 5 UNSAT
0x0168 4+2+4+2 5 UNSAT
0x0168 4+2+4+4 5 UNSAT
0x0168 4+2+1+1 5 UNSAT
0x0168 4+2+1+2 5 UNSAT
0x0168 4+2+1+2 5 UNSAT
0x0168 4+2+1+4 5 UNSAT
0x0168 4+2+2+1 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+4 5 UNSAT
0x0168 4+2+2+1 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+2 5 UNSAT
0x0168 4+2+2+4 5 UNSAT
0x0168 4+2+4+1 5 UNSAT
0x0168 4+2+4+2 5 UNSAT
0x0168 4+2+4+2 5 UNSAT
0x0168 4+2+4+4 5 UNSAT
0x0168 4+4+1+1 5 UNSAT
0x0168 4+4+1+2 5 UNSAT
0x0168 4+4+1+2 5 UNSAT
0x0168 4+4+1+4 5 UNSAT
0x0168 4+4+2+1 5 UNSAT
0x0168 4+4+2+2 5 UNSAT
0x0168 4+4+2+2 5 UNSAT
0x0168 4+4+2+4 5 UNSAT
0x0168 4+4+2+1 5 UNSAT
0x0168 4+4+2+2 5 UNSAT
0x0168 4+4+2+2 5 UNSAT
0x0168 4+4+2+4 5 UNSAT
0x0168 4+4+4+1 5 UNSAT
0x0168 4+4+4+2 5 UNSAT
0x0168 4+4+4+2 5 UNSAT
0x0168 4+4+4+4 5 UNSAT
0x0169 1+1+1+1 5 UNSAT
0x0169 1+1+1+2 5 UNSAT
0x0169 1+1+1+2 5 UNSAT
0x0169 1+1+1+4 5 UNSAT
0x0169 1+1+2+1 5 UNSAT
0x0169 1+1+2+2 5 UNSAT
0x0169 1+1+2+2 5 UNSAT
0x0169 1+1+2+4 5 UNSAT
0x0169 1+1+2+1 5 UNSAT
0x0169 1+1+2+2 5 UNSAT
0x0169 1+1+2+2 5 UNSAT
0x0169 1+1+2+4 5 UNSAT
0x0169 1+1+4+1 5 UNSAT
0x0169 1+1+4+2 5 UNSAT
0x0169 1+1+4+2 5 UNSAT
0x0169 1+1+4+4 5 UNSAT
0x0169 1+2+1+1 5 UNSAT
0x0169 1+2+1+2 5 UNSAT
0x0169 1+2+1+2 5 UNSAT
0x0169 1+2+1+4 5 UNSAT
0x0169 1+2+2+1 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+4 5 UNSAT
0x0169 1+2+2+1 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+4 5 UNSAT
0x0169 1+2+4+1 5 UNSAT
0x0169 1+2+4+2 5 UNSAT
0x0169 1+2+4+2 5 UNSAT
0x0169 1+2+4+4 5 UNSAT
0x0169 1+2+1+1 5 UNSAT
0x0169 1+2+1+2 5 UNSAT
0x0169 1+2+1+2 5 UNSAT
0x0169 1+2+1+4 5 UNSAT
0x0169 1+2+2+1 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+4 5 UNSAT
0x0169 1+2+2+1 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+2 5 UNSAT
0x0169 1+2+2+4 5 UNSAT
0x0169 1+2+4+1 5 UNSAT
0x0169 1+2+4+2 5 UNSAT
0x0169 1+2+4+2 5 UNSAT
0x0169 1+2+4+4 5 UNSAT
0x0169 1+4+1+1 5 UNSAT
0x0169 1+4+1+2 5 UNSAT
0x0169 1+4+1+2 5 UNSAT
0x0169 1+4+1+4 5 UNSAT
0x0169 1+4+2+1 5 UNSAT
0x0169 1+4+2+2 5 UNSAT
0x0169 1+4+2+2 5 UNSAT
0x0169 1+4+2+4 5 UNSAT
0x0169 1+4+2+1 5 UNSAT
0x0169 1+4+2+2 5 UNSAT
0x0169 1+4+2+2 5 UNSAT
0x0169 1+4+2+4 5 UNSAT
0x0169 1+4+4+1 5 UNSAT
0x0169 1+4+4+2 5 UNSAT
0x0169 1+4+4+2 5 UNSAT
0x0169 1+4+4+4 5 UNSAT
0x0169 2+1+1+1 5 UNSAT
0x0169 2+1+1+2 5 UNSAT
0x0169 2+1+1+2 5 UNSAT
0x0169 2+1+1+4 5 UNSAT
0x0169 2+1+2+1 5 UNSAT
0x0169 2+1+2+2 5 UNSAT
0x0169 2+1+2+2 5 UNSAT
0x0169 2+1+2+4 5 UNSAT
0x0169 2+1+2+1 5 UNSAT
0x0169 2+1+2+2 5 UNSAT
0x0169 2+1+2+2 5 UNSAT
0x0169 2+1+2+4 5 UNSAT
0x0169 2+1+4+1 5 UNSAT
0x0169 2+1+4+2 5 UNSAT
0x0169 2+1+4+2 5 UNSAT
0x0169 2+1+4+4 5 UNSAT
0x0169 2+2+1+1 5 UNSAT
0x0169 2+2+1+2 5 UNSAT
0x0169 2+2+1+2 5 UNSAT
0x0169 2+2+1+4 5 UNSAT
0x0169 2+2+2+1 5 UNSAT
0x0169 2+2+2+2 5 UNSAT
0x0169 2+2+2+2 5 UNSAT
0x0169 2+2+2+4 5 UNSAT
0x0169 2+2+2+1 5 UNSAT
0x0169 2+2+2+2 5 UNSAT
0x0169 2+2+2+2 5 UNSAT
0x0169 2+2+2+4 5 UNSAT
0x0169 2+2+4+1 5 UNSAT
0x0169 2+2+4+2 5 UNSAT
0x0169 2+2+4+2 5 UNSAT
0x0169 2+2+4+4 5 UNSAT
0x0169 2+2+1+1 5 UNSAT
0x0169 2+2+1+2 5 UNSAT
